,Price,Content Rating,Genres,pri_genres,sec_genres
0,0.0,Everyone,Art & Design,Art & Design,Art & Design
1,0.0,Everyone,Art & Design;Pretend Play,Art & Design,Pretend Play
2,0.0,Everyone,Art & Design,Art & Design,Art & Design
3,0.0,Teen,Art & Design,Art & Design,Art & Design
4,0.0,Everyone,Art & Design;Creativity,Art & Design,Creativity
5,0.0,Everyone,Art & Design,Art & Design,Art & Design
6,0.0,Everyone,Art & Design,Art & Design,Art & Design
7,0.0,Everyone,Art & Design,Art & Design,Art & Design
8,0.0,Everyone,Art & Design,Art & Design,Art & Design
9,0.0,Everyone,Art & Design;Creativity,Art & Design,Creativity
10,0.0,Everyone,Art & Design,Art & Design,Art & Design
11,0.0,Everyone,Art & Design,Art & Design,Art & Design
12,0.0,Teen,Art & Design,Art & Design,Art & Design
13,0.0,Everyone,Art & Design,Art & Design,Art & Design
14,0.0,Everyone,Art & Design,Art & Design,Art & Design
15,0.0,Everyone,Art & Design,Art & Design,Art & Design
16,0.0,Everyone,Art & Design,Art & Design,Art & Design
17,0.0,Everyone,Art & Design,Art & Design,Art & Design
18,0.0,Everyone,Art & Design,Art & Design,Art & Design
19,0.0,Everyone,Art & Design,Art & Design,Art & Design
20,0.0,Everyone,Art & Design,Art & Design,Art & Design
21,0.0,Everyone,Art & Design,Art & Design,Art & Design
22,0.0,Everyone 10+,Art & Design,Art & Design,Art & Design
23,0.0,Everyone,Art & Design;Action & Adventure,Art & Design,Action & Adventure
24,0.0,Everyone,Art & Design,Art & Design,Art & Design
25,0.0,Everyone,Art & Design,Art & Design,Art & Design
26,0.0,Everyone,Art & Design;Creativity,Art & Design,Creativity
27,0.0,Everyone,Art & Design,Art & Design,Art & Design
28,0.0,Everyone,Art & Design,Art & Design,Art & Design
29,0.0,Everyone,Art & Design,Art & Design,Art & Design
30,0.0,Everyone,Art & Design,Art & Design,Art & Design
31,0.0,Everyone,Art & Design,Art & Design,Art & Design
32,0.0,Everyone,Art & Design,Art & Design,Art & Design
33,0.0,Everyone,Art & Design,Art & Design,Art & Design
34,0.0,Teen,Art & Design,Art & Design,Art & Design
35,0.0,Everyone,Art & Design,Art & Design,Art & Design
36,0.0,Everyone,Art & Design;Creativity,Art & Design,Creativity
37,0.0,Everyone,Art & Design,Art & Design,Art & Design
38,0.0,Everyone,Art & Design,Art & Design,Art & Design
39,0.0,Everyone,Art & Design,Art & Design,Art & Design
40,0.0,Everyone,Art & Design,Art & Design,Art & Design
41,0.0,Everyone,Art & Design,Art & Design,Art & Design
42,0.0,Everyone,Art & Design,Art & Design,Art & Design
43,0.0,Everyone,Art & Design;Creativity,Art & Design,Creativity
44,0.0,Everyone,Art & Design,Art & Design,Art & Design
45,0.0,Everyone,Art & Design,Art & Design,Art & Design
46,0.0,Everyone,Art & Design,Art & Design,Art & Design
47,0.0,Everyone,Art & Design,Art & Design,Art & Design
48,0.0,Everyone,Art & Design,Art & Design,Art & Design
49,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
50,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
51,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
52,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
53,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
54,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
55,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
56,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
57,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
58,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
59,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
60,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
61,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
62,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
63,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
64,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
65,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
66,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
67,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
68,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
69,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles
