Size,Installs,Type
19.0,10000.0,0.0
14.0,500000.0,0.0
8.7,5000000.0,0.0
25.0,50000000.0,0.0
2.8,100000.0,0.0
5.6,50000.0,0.0
19.0,50000.0,0.0
29.0,1000000.0,0.0
33.0,1000000.0,0.0
3.1,10000.0,0.0
28.0,1000000.0,0.0
12.0,1000000.0,0.0
20.0,10000000.0,0.0
21.0,100000.0,0.0
37.0,100000.0,0.0
2.7,5000.0,0.0
5.5,500000.0,0.0
17.0,10000.0,0.0
39.0,5000000.0,0.0
31.0,10000000.0,0.0
14.0,100000.0,0.0
12.0,100000.0,0.0
4.2,500000.0,0.0
7.0,100000.0,0.0
23.0,50000.0,0.0
6.0,10000.0,0.0
25.0,500000.0,0.0
6.1,100000.0,0.0
4.6,10000.0,0.0
4.2,100000.0,0.0
9.2,100000.0,0.0
5.2,50000.0,0.0
11.0,100000.0,0.0
11.0,100000.0,0.0
4.2,10000.0,0.0
9.2,100000.0,0.0
24.0,500000.0,0.0
37.0,5000000.0,0.0
11.0,10000.0,0.0
9.4,500000.0,0.0
15.0,10000.0,0.0
10.0,100000.0,0.0
37.0,10000000.0,0.0
1.2,100000.0,0.0
12.0,10000.0,0.0
24.0,10000000.0,0.0
26.0,100000.0,0.0
8.0,100000.0,0.0
7.9,100000.0,0.0
25.0,100000.0,0.0
56.0,1000000.0,0.0
57.0,100000.0,0.0
37.0,1000000.0,0.0
35.0,100000.0,0.0
33.0,100000.0,0.0
33.0,100000.0,0.0
5.6,50000.0,0.0
54.0,100000.0,0.0
201.0,100000.0,0.0
3.6,100000.0,0.0
5.7,10000.0,0.0
17.0,100000.0,0.0
8.6,1000000.0,0.0
2.4,100000.0,0.0
27.0,100000.0,0.0
2.7,10000.0,0.0
2.5,50000.0,0.0
37.0,5000000.0,0.0
37.0,100000.0,0.0
7.0,5000000.0,0.0
35.0,5000000.0,0.0
16.0,500000.0,0.0
16.0,10000000.0,0.0
37.0,100000.0,0.0
17.0,500000.0,0.0
3.4,50000.0,0.0
8.9,100000.0,0.0
3.9,1000000.0,0.0
2.9,100000.0,0.0
38.0,1000000.0,0.0
32.0,50000.0,0.0
37.0,1000000.0,0.0
15.0,500000.0,0.0
5.4,100000.0,0.0
18.0,1000000.0,0.0
37.0,1000000.0,0.0
38.0,100000.0,0.0
1.1,100000.0,0.0
37.0,1000000.0,0.0
37.0,100000.0,0.0
7.9,100000.0,0.0
35.0,1000000.0,0.0
37.0,1000000.0,0.0
17.0,1000000.0,0.0
19.0,1000000.0,0.0
14.0,500000.0,0.0
2.2,500000.0,0.0
4.5,100000.0,0.0
17.0,500000.0,0.0
14.0,1000000.0,0.0
9.8,100000.0,0.0
21.0,500000.0,0.0
37.0,1000000.0,0.0
52.0,500000.0,0.0
14.0,100000.0,0.0
25.0,1000000.0,0.0
9.0,50000.0,0.0
37.0,1000000.0,0.0
12.0,10000.0,0.0
37.0,1000000.0,0.0
35.0,100000.0,0.0
6.7,10000.0,0.0
30.0,50000.0,0.0
5.7,100000.0,0.0
2.9,10000.0,0.0
17.0,10000.0,0.0
2.9,10000.0,0.0
37.0,10000000.0,0.0
37.0,500000.0,0.0
2.6,1000000.0,0.0
4.2,50000.0,0.0
7.1,10000.0,0.0
57.0,1000000.0,0.0
3.7,50000.0,0.0
