Current_Ver,Ver_Mon,Ver_Year,And_1st_Ver,And_Last_Ver
1.0.0,1.0,2018.0,4.0,11.0
2.0.0,1.0,2018.0,4.0,11.0
1.2.4,8.0,2018.0,4.0,11.0
1.0.0,6.0,2018.0,4.0,11.0
1.1,6.0,2018.0,4.0,11.0
1.0,3.0,2017.0,2.0,11.0
1.1,4.0,2018.0,4.0,11.0
6.1.61.1,6.0,2018.0,4.0,11.0
2.9.2,9.0,2017.0,3.0,11.0
2.8,7.0,2018.0,4.0,11.0
1.0.4,10.0,2017.0,4.0,11.0
1.0.15,7.0,2018.0,4.0,11.0
3.8,4.0,2018.0,4.0,11.0
1.0.4,6.0,2018.0,4.0,11.0
1.2.3,8.0,2018.0,2.0,11.0
,6.0,2018.0,4.0,11.0
3.1,7.0,2018.0,4.0,11.0
1.0,11.0,2017.0,2.0,11.0
2.2.5,8.0,2018.0,4.0,11.0
5.5.4,7.0,2018.0,4.0,11.0
4.0,4.0,2018.0,4.0,11.0
1.1,3.0,2018.0,4.0,11.0
2.2.6.2,7.0,2018.0,4.0,11.0
1.0.0,3.0,2018.0,4.0,11.0
1.1.3,7.0,2018.0,4.0,11.0
1.5,4.0,2018.0,3.0,11.0
1.0.8,10.0,2017.0,4.0,11.0
1.03,3.0,2018.0,4.0,11.0
6.0,7.0,2018.0,2.0,11.0
1.0,8.0,2017.0,2.0,11.0
6.7.12.2018,7.0,2018.0,4.0,11.0
1.2,5.0,2018.0,2.0,11.0
2.20,7.0,2018.0,4.0,11.0
1.1.0,1.0,2018.0,4.0,11.0
1.6,4.0,2018.0,4.0,11.0
2.1,7.0,2018.0,4.0,11.0
1.0.9,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,2.0,11.0
1.3,11.0,2017.0,4.0,11.0
1,3.0,2018.0,4.0,11.0
2.0.1,7.0,2018.0,4.0,11.0
1.0,4.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.46,4.0,2018.0,4.0,11.0
1.0.0,1.0,2018.0,4.0,11.0
1.6.1,7.0,2018.0,4.0,11.0
1.6,11.0,2017.0,4.0,11.0
2.0.0,12.0,2017.0,4.0,11.0
1.0,5.0,2018.0,2.0,11.0
1.0,5.0,2018.0,4.0,11.0
11.0,7.0,2018.0,4.0,11.0
3.0,7.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
3.0,7.0,2018.0,4.0,11.0
4.0,7.0,2018.0,4.0,11.0
1.7.1,7.0,2018.0,4.0,11.0
2.5.1,7.0,2018.0,4.0,11.0
3.0,7.0,2018.0,4.0,11.0
1.0.1,8.0,2014.0,2.0,11.0
2.493,7.0,2018.0,4.0,11.0
1.9.1,7.0,2018.0,4.0,11.0
1.7,7.0,2018.0,4.0,11.0
2.20 Build 02,7.0,2018.0,4.0,11.0
1.37,6.0,2018.0,4.0,11.0
1.7,7.0,2018.0,4.0,11.0
0.2.1,7.0,2018.0,4.0,11.0
1.0,10.0,2016.0,2.0,11.0
1.0.0,7.0,2018.0,11.0,11.0
1.0.0,5.0,2018.0,11.0,11.0
4.47.3,7.0,2018.0,4.0,11.0
1.9.7,8.0,2018.0,4.0,11.0
2.2.21,8.0,2018.0,4.0,11.0
1.0.0,7.0,2018.0,5.0,11.0
2.9,7.0,2018.0,2.0,11.0
1.79,7.0,2018.0,4.0,11.0
1.3,6.0,2018.0,4.0,11.0
2.3.5.1,6.0,2018.0,4.0,11.0
1.6,7.0,2018.0,4.0,11.0
1.6,3.0,2018.0,4.0,11.0
8.31,7.0,2018.0,4.0,11.0
1.1.5.0,7.0,2018.0,6.0,11.0
10.0.2,7.0,2018.0,4.0,11.0
1.10.3,7.0,2018.0,5.0,11.0
1.0,7.0,2018.0,4.0,11.0
3.20.1,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
1.0.3,7.0,2018.0,2.0,11.0
1.4,4.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,11.0,11.0
4.6.5,5.0,2018.0,11.0,11.0
2.8.2,5.0,2018.0,4.0,11.0
4.0.3,7.0,2018.0,4.0,11.0
1.0.0,8.0,2018.0,4.0,11.0
1.40,8.0,2018.0,4.0,11.0
1.5.18,7.0,2018.0,4.0,11.0
2.3.4,6.0,2018.0,4.0,11.0
1.03,3.0,2018.0,4.0,11.0
2.17,4.0,2018.0,4.0,11.0
6.10.1,8.0,2018.0,5.0,11.0
2.3.0,11.0,2017.0,4.0,11.0
4.0,5.0,2018.0,4.0,11.0
1.0.6,7.0,2018.0,4.0,11.0
1.0.0,10.0,2016.0,11.0,11.0
1.6,2.0,2018.0,4.0,11.0
1.9,7.0,2018.0,4.0,11.0
1.1.0,5.0,2018.0,4.0,11.0
4.0,6.0,2018.0,4.0,11.0
5.4,6.0,2018.0,5.0,11.0
1.3,6.0,2018.0,4.0,11.0
1.0.0,9.0,2017.0,11.0,11.0
2.0.0,6.0,2018.0,4.0,11.0
6.0,7.0,2018.0,4.0,11.0
3.0.1,7.0,2018.0,4.0,11.0
8.0,9.0,2017.0,3.0,11.0
3.3.9,4.0,2018.0,4.0,11.0
1.20,3.0,2018.0,4.0,11.0
