,Category,Rating,reviews,Size,Installs,Type,Price,Content Rating,Genres,pri_genres,sec_genres,Current_Ver,Ver_Mon,Ver_Year,And_1st_Ver,And_Last_Ver
0,ART_AND_DESIGN,4.1,159.0,19.0,10000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0.0,1.0,2018.0,4.0,11.0
1,ART_AND_DESIGN,3.9,967.0,14.0,500000.0,0.0,0.0,Everyone,Art & Design;Pretend Play,Art & Design,Pretend Play,2.0.0,1.0,2018.0,4.0,11.0
2,ART_AND_DESIGN,4.7,87510.0,8.7,5000000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.2.4,8.0,2018.0,4.0,11.0
3,ART_AND_DESIGN,4.5,215644.0,25.0,50000000.0,0.0,0.0,Teen,Art & Design,Art & Design,Art & Design,1.0.0,6.0,2018.0,4.0,11.0
4,ART_AND_DESIGN,4.3,967.0,2.8,100000.0,0.0,0.0,Everyone,Art & Design;Creativity,Art & Design,Creativity,1.1,6.0,2018.0,4.0,11.0
5,ART_AND_DESIGN,4.4,167.0,5.6,50000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0,3.0,2017.0,2.0,11.0
6,ART_AND_DESIGN,3.8,178.0,19.0,50000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.1,4.0,2018.0,4.0,11.0
7,ART_AND_DESIGN,4.1,36815.0,29.0,1000000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,6.1.61.1,6.0,2018.0,4.0,11.0
8,ART_AND_DESIGN,4.4,13791.0,33.0,1000000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,2.9.2,9.0,2017.0,3.0,11.0
9,ART_AND_DESIGN,4.7,121.0,3.1,10000.0,0.0,0.0,Everyone,Art & Design;Creativity,Art & Design,Creativity,2.8,7.0,2018.0,4.0,11.0
10,ART_AND_DESIGN,4.4,13880.0,28.0,1000000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0.4,10.0,2017.0,4.0,11.0
11,ART_AND_DESIGN,4.4,8788.0,12.0,1000000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0.15,7.0,2018.0,4.0,11.0
12,ART_AND_DESIGN,4.2,44829.0,20.0,10000000.0,0.0,0.0,Teen,Art & Design,Art & Design,Art & Design,3.8,4.0,2018.0,4.0,11.0
13,ART_AND_DESIGN,4.6,4326.0,21.0,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0.4,6.0,2018.0,4.0,11.0
14,ART_AND_DESIGN,4.4,1518.0,37.0,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.2.3,8.0,2018.0,2.0,11.0
15,ART_AND_DESIGN,3.2,55.0,2.7,5000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,,6.0,2018.0,4.0,11.0
16,ART_AND_DESIGN,4.7,3632.0,5.5,500000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,3.1,7.0,2018.0,4.0,11.0
17,ART_AND_DESIGN,4.5,27.0,17.0,10000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0,11.0,2017.0,2.0,11.0
18,ART_AND_DESIGN,4.3,194216.0,39.0,5000000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,2.2.5,8.0,2018.0,4.0,11.0
19,ART_AND_DESIGN,4.6,224399.0,31.0,10000000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,5.5.4,7.0,2018.0,4.0,11.0
20,ART_AND_DESIGN,4.0,450.0,14.0,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,4.0,4.0,2018.0,4.0,11.0
21,ART_AND_DESIGN,4.1,654.0,12.0,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.1,3.0,2018.0,4.0,11.0
22,ART_AND_DESIGN,4.7,7699.0,4.2,500000.0,0.0,0.0,Everyone 10+,Art & Design,Art & Design,Art & Design,2.2.6.2,7.0,2018.0,4.0,11.0
23,ART_AND_DESIGN,0.0,61.0,7.0,100000.0,0.0,0.0,Everyone,Art & Design;Action & Adventure,Art & Design,Action & Adventure,1.0.0,3.0,2018.0,4.0,11.0
24,ART_AND_DESIGN,4.7,118.0,23.0,50000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.1.3,7.0,2018.0,4.0,11.0
25,ART_AND_DESIGN,4.8,192.0,6.0,10000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.5,4.0,2018.0,3.0,11.0
26,ART_AND_DESIGN,4.7,20260.0,25.0,500000.0,0.0,0.0,Everyone,Art & Design;Creativity,Art & Design,Creativity,1.0.8,10.0,2017.0,4.0,11.0
27,ART_AND_DESIGN,4.1,203.0,6.1,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.03,3.0,2018.0,4.0,11.0
28,ART_AND_DESIGN,3.9,136.0,4.6,10000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,6.0,7.0,2018.0,2.0,11.0
29,ART_AND_DESIGN,4.1,223.0,4.2,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0,8.0,2017.0,2.0,11.0
30,ART_AND_DESIGN,4.2,1120.0,9.2,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,6.7.12.2018,7.0,2018.0,4.0,11.0
31,ART_AND_DESIGN,4.1,227.0,5.2,50000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.2,5.0,2018.0,2.0,11.0
32,ART_AND_DESIGN,4.5,5035.0,11.0,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,2.20,7.0,2018.0,4.0,11.0
33,ART_AND_DESIGN,4.2,1015.0,11.0,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.1.0,1.0,2018.0,4.0,11.0
34,ART_AND_DESIGN,4.7,353.0,4.2,10000.0,0.0,0.0,Teen,Art & Design,Art & Design,Art & Design,1.6,4.0,2018.0,4.0,11.0
35,ART_AND_DESIGN,3.8,564.0,9.2,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,2.1,7.0,2018.0,4.0,11.0
36,ART_AND_DESIGN,4.7,8145.0,24.0,500000.0,0.0,0.0,Everyone,Art & Design;Creativity,Art & Design,Creativity,1.0.9,8.0,2018.0,4.0,11.0
37,ART_AND_DESIGN,4.1,36639.0,37.0,5000000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0.0,7.0,2018.0,2.0,11.0
38,ART_AND_DESIGN,4.7,158.0,11.0,10000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.3,11.0,2017.0,4.0,11.0
39,ART_AND_DESIGN,4.0,591.0,9.4,500000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1,3.0,2018.0,4.0,11.0
40,ART_AND_DESIGN,4.2,117.0,15.0,10000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,2.0.1,7.0,2018.0,4.0,11.0
41,ART_AND_DESIGN,4.5,176.0,10.0,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0,4.0,2018.0,4.0,11.0
42,ART_AND_DESIGN,4.4,295221.0,37.0,10000000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0.0,7.0,2018.0,11.0,11.0
43,ART_AND_DESIGN,3.8,2206.0,1.2,100000.0,0.0,0.0,Everyone,Art & Design;Creativity,Art & Design,Creativity,1.46,4.0,2018.0,4.0,11.0
44,ART_AND_DESIGN,4.2,26.0,12.0,10000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0.0,1.0,2018.0,4.0,11.0
45,ART_AND_DESIGN,4.7,174531.0,24.0,10000000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.6.1,7.0,2018.0,4.0,11.0
46,ART_AND_DESIGN,4.6,1070.0,26.0,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.6,11.0,2017.0,4.0,11.0
47,ART_AND_DESIGN,4.2,85.0,8.0,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,2.0.0,12.0,2017.0,4.0,11.0
48,ART_AND_DESIGN,4.3,845.0,7.9,100000.0,0.0,0.0,Everyone,Art & Design,Art & Design,Art & Design,1.0,5.0,2018.0,2.0,11.0
49,AUTO_AND_VEHICLES,4.2,367.0,25.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0,5.0,2018.0,4.0,11.0
50,AUTO_AND_VEHICLES,4.0,1598.0,56.0,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,11.0,7.0,2018.0,4.0,11.0
51,AUTO_AND_VEHICLES,3.8,284.0,57.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,3.0,7.0,2018.0,4.0,11.0
52,AUTO_AND_VEHICLES,4.6,17057.0,37.0,1000000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0.0,7.0,2018.0,11.0,11.0
53,AUTO_AND_VEHICLES,3.9,129.0,35.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,3.0,7.0,2018.0,4.0,11.0
54,AUTO_AND_VEHICLES,4.3,542.0,33.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,4.0,7.0,2018.0,4.0,11.0
55,AUTO_AND_VEHICLES,4.9,10479.0,33.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.7.1,7.0,2018.0,4.0,11.0
56,AUTO_AND_VEHICLES,4.4,805.0,5.6,50000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,2.5.1,7.0,2018.0,4.0,11.0
57,AUTO_AND_VEHICLES,4.2,129.0,54.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,3.0,7.0,2018.0,4.0,11.0
58,AUTO_AND_VEHICLES,4.0,1403.0,201.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.0.1,8.0,2014.0,2.0,11.0
59,AUTO_AND_VEHICLES,3.9,3971.0,3.6,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,2.493,7.0,2018.0,4.0,11.0
60,AUTO_AND_VEHICLES,4.6,534.0,5.7,10000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.9.1,7.0,2018.0,4.0,11.0
61,AUTO_AND_VEHICLES,4.9,7774.0,17.0,100000.0,0.0,0.0,Everyone,Auto & Vehicles,Auto & Vehicles,Auto & Vehicles,1.7,7.0,2018.0,4.0,11.0
