,name,follower
0,Bruno Guimarães,387909
1,Benjamin Pavard,1705469
2,Christopher Nkunku,482442
3,Diogo Jota,190719
4,Éverton,3411
5,Hirving Lozano,1508469
6,Milot Rashica,283652
7,Steven Bergwijn,505348
8,Presnel Kimpembe,2500000
9,Issa Diop,55282
10,Alex Meret,272236
11,Abdou Diallo,19467
12,Thilo Kehrer,417950
13,Lukas Klostermann,52955
14,Federico Bernardeschi,2294890
15,Alejandro Grimaldo,453600
16,Nico Elvedi,56757
17,Victor Lindelöf,1737260
18,Nathan Aké,689371
19,Raphaël Guerreiro,684951
20,Kurt Zouma,1500587
21,Benjamin Mendy,3062590
22,Alex Oxlade-Chamberlain,4841111
23,Nicolás Tagliafico,1049277
24,Jordan Pickford,606545
25,Paco Alcácer,1573094
26,Lucas Digne,1964483
27,Matthias Ginter,317831
28,Kieran Trippier,691216
29,Kevin Volland,176399
30,Pablo Sarabia,462325
31,Bernd Leno,834169
32,Sergio Busquets,2979400
33,Jordan Henderson,3644529
34,Dani Parejo,276500
35,Aaron Ramsey,4059287
36,Luis Suárez,37921733
37,Phil Foden,891898
38,Victor Osimhen,172591
39,Samu Chukwueze,274
40,Moussa Diaby,211062
41,Boubacar Kamara,408100
42,Merih Demiral,1688288
43,Alex Iwobi,2393
44,Adama Traoré,1394908
45,Corentin Tolisso,1144213
46,Adrien Rabiot,1741682
47,Tiemoué Bakayoko,1136691
48,Iñigo Martínez,78038
49,Felipe,561000
50,Stefan Savic,300512
51,Thomas Müller,7411472
52,Gonzalo Higuaín,88500
53,Gabriel Martinelli,869076
54,Moise Kean,1814159
55,Donyell Malen,118651
56,Ismaïla Sarr,249665
57,Boubakary Soumaré,728
58,Nikola Milenkovic,62620
59,Wesley,57900
60,Amine Harit,1019540
61,Igor Zubeldia,20695
62,Cengiz Ünder,979374
63,Mikel Merino,114551
64,Dominic Calvert-Lewin,194987
65,David Brooks,888653
66,Yeray Álvarez,95586
67,Ayoze Pérez,189500
68,Rafa Silva,44300
69,Konrad Laimer,32064
70,Djené,17900
71,Stefano Sensi,470669
72,Thomas Lemar,953000
73,Oleksandr Zinchenko,32800
74,Ruben Loftus-Cheek,1512046
75,Andreas Christensen,601838
76,Ante Rebic,3523
77,Emerson,0
78,Alassane Plea,123811
79,Yussuf Poulsen,109000
80,Danilo Pereira,343156
81,Idrissa Gueye,659000
82,Kerem Demirbay,237
83,Callum Wilson,292000
84,Willian José,117844
85,Emre Can,2823284
86,Granit Xhaka,2041052
87,Mário Fernandes,1810
88,Thomas Meunier,1155895
89,Julian Draxler,4083998
