,name,follower
0,Oscar,5200000
1,Francis Coquelin,42457
2,Amadou Diawara,240919
3,Gabriel Barbosa,7684152
4,Julian Weigl,641544
5,Matías Vecino,346336
6,Paulinho,475000
7,João Pedro,752000
8,Rayan Cherki,156928
9,Antony,662000
10,Dwight McNeil,13330
11,Thiago Almada,156517
12,Edmond Tapsoba,18990
13,Emerson,90
14,Benoît Badiashile,14311
15,Douglas Luiz,270868
16,Myron Boadu,58189
17,Calvin Stengs,61673
18,Sergiño Dest,147756
19,Florentino,168000
20,Diogo Dalot,1031608
21,Marc Cucurella,176588
22,Carles Aleñá,1498832
23,Matheus Henrique,400353
24,Gabriel Magalhães,65118
25,Jean-Philippe Mateta,217
26,Harvey Barnes,74268
27,Ismaël Bennacer,1703476
28,Sean Longstaff,57331
29,Mouctar Diakhaby,72468
30,Christian Kouamé,59800
31,Nikola Vlasic,92992
32,Eric Bailly,2341597
33,Harry Wilson,407655
34,Florian Neuhaus,46916
35,Angeliño,165000
36,Neal Maupay,30993
37,Ben Davies,266366
38,Fred,5309528
39,Luke Shaw,2862273
40,Mike Maignan,111840
41,Quincy Promes,624559
42,Michy Batshuayi,2483328
43,Gabriel Paulista,830644
44,Ryan Fraser,32200
45,Jesse Lingard,6670002
46,Danny Ings,682000
47,Suso,1026005
48,Marc Bartra,6684354
49,Thomas Delaney,146261
50,Josip Ilicic,173164
51,Marcel Halstenberg,43758
52,Anthony Lopes,136526
53,Kevin Kampl,170960
54,Ivan Perisic,1459347
55,Mesut Özil,22044600
56,Dodi Lukebakio,35427
57,Carlos Vinícius,129601
58,Colin Dagba,124609
59,Luiz Felipe,79400
60,Trincão,156071
61,Raphinha,106000
62,Pau Torres,22100
63,Pablo Fornals,84368
64,Dusan Vlahovic,102135
65,Loren Morón,83982
66,Lucas Tousart,116295
67,Malang Sarr,36511
68,Joe Willock,325039
69,Unai Núñez,40610
70,Marc Roca,34822
71,Valentin Rongier,170526
72,Jarrod Bowen,44053
73,Tom Davies,122000
74,Fikayo Tomori,536092
75,Jonathan Bamba,55040
76,Kasper Dolberg,390778
77,Marcos Llorente,1984090
78,Álvaro Odriozola,815952
79,Miguel Almirón,486719
80,Viktor Tsygankov,101222
81,Unai Simón,122000
82,Timothy Castagne,38180
83,Joachim Andersen,43151
84,Talisca,722000
85,Renato Sanches,2251175
86,Wilmar Barrios,820996
87,Zeki Celik,81482
88,Lewis Cook,40819
89,Keita Baldé,764695
