,Name,Values
1.0,Kylian Mbappé,€180.00m
2.0,Raheem Sterling,€128.00m
3.0,Neymar,€128.00m
4.0,Sadio Mané,€120.00m
5.0,Mohamed Salah,€120.00m
6.0,Harry Kane,€120.00m
7.0,Kevin De Bruyne,€120.00m
8.0,Jadon Sancho,€117.00m
9.0,Lionel Messi,€112.00m
10.0,Trent Alexander-Arnold,€99.00m
11.0,Antoine Griezmann,€96.00m
12.0,João Félix,€81.00m
13.0,Kai Havertz,€81.00m
14.0,Bernardo Silva,€80.00m
15.0,N'Golo Kanté,€80.00m
16.0,Leroy Sané,€80.00m
17.0,Virgil van Dijk,€80.00m
18.0,Paul Pogba,€80.00m
19.0,Jan Oblak,€80.00m
20.0,Eden Hazard,€80.00m
21.0,Erling Haaland,€72.00m
22.0,Frenkie de Jong,€72.00m
23.0,Paulo Dybala,€72.00m
24.0,Serge Gnabry,€72.00m
25.0,Saúl Ñíguez,€72.00m
26.0,Roberto Firmino,€72.00m
27.0,Alisson,€72.00m
28.0,Marc-André ter Stegen,€72.00m
29.0,Romelu Lukaku,€68.00m
30.0,Christian Eriksen,€68.00m
31.0,Matthijs de Ligt,€67.50m
32.0,Lautaro Martínez,€64.00m
33.0,Rodri,€64.00m
34.0,Sergej Milinkovic-Savic,€64.00m
35.0,Marcus Rashford,€64.00m
36.0,Andrew Robertson,€64.00m
37.0,Dele Alli,€64.00m
38.0,Timo Werner,€64.00m
39.0,Raphaël Varane,€64.00m
40.0,Joshua Kimmich,€64.00m
41.0,Heung-min Son,€64.00m
42.0,Casemiro,€64.00m
43.0,Aymeric Laporte,€60.00m
44.0,Marco Verratti,€60.00m
45.0,Mauro Icardi,€60.00m
46.0,Cristiano Ronaldo,€60.00m
47.0,Gabriel Jesus,€56.00m
48.0,Arthur,€56.00m
49.0,Ousmane Dembélé,€56.00m
50.0,Lucas Hernández,€56.00m
51.0,José Giménez,€56.00m
52.0,Ederson,€56.00m
53.0,Fabinho,€56.00m
54.0,Harry Maguire,€56.00m
55.0,Kalidou Koulibaly,€56.00m
56.0,Philippe Coutinho,€56.00m
57.0,Pierre-Emerick Aubameyang,€56.00m
58.0,Robert Lewandowski,€56.00m
59.0,Achraf Hakimi,€54.00m
60.0,Federico Valverde,€54.00m
61.0,Christian Pulisic,€54.00m
62.0,Tanguy Ndombélé,€52.00m
63.0,Richarlison,€52.00m
64.0,Nicolas Pépé,€52.00m
65.0,Marquinhos,€52.00m
66.0,Jorginho,€52.00m
67.0,David Alaba,€52.00m
68.0,Miralem Pjanic,€52.00m
69.0,Sergio Agüero,€52.00m
70.0,Houssem Aouar,€49.50m
71.0,Declan Rice,€49.50m
72.0,Gianluigi Donnarumma,€49.50m
73.0,Mikel Oyarzabal,€48.00m
74.0,Fabián Ruiz,€48.00m
75.0,Davinson Sánchez,€48.00m
76.0,Federico Chiesa,€48.00m
77.0,James Maddison,€48.00m
78.0,Bruno Fernandes,€48.00m
79.0,Milan Skriniar,€48.00m
80.0,Clément Lenglet,€48.00m
81.0,Anthony Martial,€48.00m
82.0,Riyad Mahrez,€48.00m
83.0,Niklas Süle,€48.00m
84.0,Marcelo Brozovic,€48.00m
85.0,Lorenzo Insigne,€48.00m
86.0,Stefan de Vrij,€48.00m
87.0,Thibaut Courtois,€48.00m
88.0,Alexandre Lacazette,€48.00m
89.0,Koke,€48.00m
90.0,Thiago,€48.00m
91.0,Toni Kroos,€48.00m
92.0,Alphonso Davies,€45.00m
93.0,Rodrygo,€45.00m
94.0,Ferran Torres,€45.00m
95.0,Nicolò Zaniolo,€45.00m
96.0,Vinícius Júnior,€45.00m
97.0,Dayot Upamecano,€45.00m
98.0,Martin Ödegaard,€45.00m
99.0,Donny van de Beek,€44.00m
100.0,Youri Tielemans,€44.00m
101.0,Memphis Depay,€44.00m
102.0,Wilfried Zaha,€44.00m
103.0,Luis Alberto,€44.00m
104.0,Mattéo Guendouzi,€40.50m
105.0,Ibrahima Konaté,€40.50m
106.0,Mason Mount,€40.50m
107.0,Carlos Soler,€40.00m
108.0,Rodrigo Bentancur,€40.00m
109.0,Giovani Lo Celso,€40.00m
110.0,Tammy Abraham,€40.00m
111.0,Ben Chilwell,€40.00m
112.0,Iñaki Williams,€40.00m
113.0,Kingsley Coman,€40.00m
114.0,Thomas,€40.00m
115.0,Moussa Dembélé,€40.00m
116.0,Rúben Neves,€40.00m
117.0,José Gayà,€40.00m
118.0,Hakim Ziyech,€40.00m
119.0,Raúl Jiménez,€40.00m
120.0,Julian Brandt,€40.00m
121.0,Leon Goretzka,€40.00m
122.0,Wissam Ben Yedder,€40.00m
123.0,Daniel Carvajal,€40.00m
124.0,Rodrigo,€40.00m
125.0,Ciro Immobile,€40.00m
126.0,Kyle Walker,€40.00m
127.0,Antonio Rüdiger,€40.00m
128.0,Sergi Roberto,€40.00m
129.0,Isco,€40.00m
130.0,Alex Sandro,€40.00m
131.0,Jordi Alba,€40.00m
132.0,David de Gea,€40.00m
133.0,Ilkay Gündogan,€40.00m
134.0,Georginio Wijnaldum,€40.00m
135.0,Eduardo Camavinga,€37.50m
136.0,David Neres,€36.00m
137.0,Ansu Fati,€36.00m
138.0,Éder Militão,€36.00m
139.0,Denis Zakaria,€36.00m
140.0,Jonathan Ikoné,€36.00m
141.0,Lucas Torreira,€36.00m
142.0,Wilfred Ndidi,€36.00m
143.0,Nicolò Barella,€36.00m
144.0,André Onana,€36.00m
145.0,Alessio Romagnoli,€36.00m
146.0,John Stones,€36.00m
147.0,João Cancelo,€36.00m
148.0,Sébastien Haller,€36.00m
149.0,Álvaro Morata,€36.00m
150.0,Duván Zapata,€36.00m
151.0,Mateo Kovacic,€36.00m
152.0,Naby Keïta,€33.50m
153.0,Joe Gomez,€33.50m
154.0,Aaron Wan-Bissaka,€32.00m
155.0,Maxi Gómez,€32.00m
156.0,Theo Hernández,€32.00m
157.0,Diego Carlos,€32.00m
158.0,Caglar Söyüncü,€32.00m
159.0,Dani Ceballos,€32.00m
160.0,Marco Asensio,€32.00m
161.0,Ferland Mendy,€32.00m
162.0,Lorenzo Pellegrini,€32.00m
163.0,Ángel Correa,€32.00m
164.0,Luka Jovic,€32.00m
165.0,Alex Telles,€32.00m
166.0,Harry Winks,€32.00m
167.0,Nélson Semedo,€32.00m
168.0,Ricardo Pereira,€32.00m
169.0,Nabil Fekir,€32.00m
170.0,Kepa,€32.00m
171.0,Arkadiusz Milik,€32.00m
172.0,Héctor Bellerín,€32.00m
173.0,Lucas Ocampos,€32.00m
174.0,Florian Thauvin,€32.00m
175.0,Piotr Zielinski,€32.00m
176.0,Andrea Belotti,€32.00m
177.0,Filip Kostic,€32.00m
178.0,Felipe Anderson,€32.00m
179.0,Samuel Umtiti,€32.00m
180.0,Allan,€32.00m
181.0,Marcel Sabitzer,€32.00m
182.0,Konstantinos Manolas,€32.00m
183.0,Thorgan Hazard,€32.00m
184.0,James Rodríguez,€32.00m
185.0,Joel Matip,€32.00m
186.0,Lucas Moura,€32.00m
187.0,Ángel Di María,€32.00m
188.0,Wojciech Szczesny,€32.00m
189.0,Gareth Bale,€32.00m
190.0,Marco Reus,€32.00m
191.0,Karim Benzema,€32.00m
192.0,Renan Lodi,€31.50m
193.0,Dejan Kulusevski,€31.50m
194.0,Sandro Tonali,€31.50m
195.0,Ryan Sessegnon,€31.50m
196.0,Callum Hudson-Odoi,€31.50m
197.0,Dan-Axel Zagadou,€31.50m
198.0,Alessandro Bastoni,€31.50m
199.0,Dani Olmo,€31.50m
200.0,Malcom,€30.50m
201.0,Rúben Dias,€30.50m
202.0,Joaquín Correa,€30.50m
203.0,Jack Grealish,€30.50m
204.0,Andrej Kramaric,€30.50m
205.0,Leon Bailey,€29.50m
206.0,Jonathan Tah,€29.50m
207.0,Mason Greenwood,€29.00m
208.0,Ozan Kabak,€29.00m
209.0,Bruno Guimarães,€28.00m
210.0,Benjamin Pavard,€28.00m
211.0,Christopher Nkunku,€28.00m
212.0,Diogo Jota,€28.00m
213.0,Éverton,€28.00m
214.0,Hirving Lozano,€28.00m
215.0,Milot Rashica,€28.00m
216.0,Steven Bergwijn,€28.00m
217.0,Presnel Kimpembe,€28.00m
218.0,Issa Diop,€28.00m
219.0,Alex Meret,€28.00m
220.0,Abdou Diallo,€28.00m
221.0,Thilo Kehrer,€28.00m
222.0,Lukas Klostermann,€28.00m
223.0,Federico Bernardeschi,€28.00m
224.0,Alejandro Grimaldo,€28.00m
225.0,Nico Elvedi,€28.00m
226.0,Victor Lindelöf,€28.00m
227.0,Nathan Aké,€28.00m
228.0,Raphaël Guerreiro,€28.00m
229.0,Kurt Zouma,€28.00m
230.0,Benjamin Mendy,€28.00m
231.0,Alex Oxlade-Chamberlain,€28.00m
232.0,Nicolás Tagliafico,€28.00m
233.0,Jordan Pickford,€28.00m
234.0,Paco Alcácer,€28.00m
235.0,Lucas Digne,€28.00m
236.0,Matthias Ginter,€28.00m
237.0,Kieran Trippier,€28.00m
238.0,Kevin Volland,€28.00m
239.0,Pablo Sarabia,€28.00m
240.0,Bernd Leno,€28.00m
241.0,Sergio Busquets,€28.00m
242.0,Jordan Henderson,€28.00m
243.0,Dani Parejo,€28.00m
244.0,Aaron Ramsey,€28.00m
245.0,Luis Suárez,€28.00m
246.0,Phil Foden,€27.00m
