,player_name,position,age,height,weight,rating,value,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
1,A. Belotti,4.0,27.0,181.0,72.0,5.25,32.0,740918,2.8168,1.0538,0.4432,0.0,0.0985,12.3211,0.9554,4.0184,0.4629,0.0985,0.2659,12.3211,5.6829,1.9304,0.9947,2.8562,1.7039,0.1083,0.0,0.0,0.0394,0.0,0.0985,0.0295,0.0,1.0538,0.9947,0.0591,0.0689,0.0689,101.5333
3,A. Correa,4.0,25.0,171.0,70.0,7.0,32.0,652886,1.9736,0.8442,0.2282,0.0,0.2168,23.4897,1.5287,9.1609,0.7758,0.1141,0.9355,12.5833,5.0082,4.4378,2.544,1.6086,1.6542,0.2738,0.0114,0.0114,0.0114,0.0114,0.0,0.0,0.0,1.5515,0.9697,0.5818,0.6731,0.616,87.6556
7,A. Griezmann,4.0,29.0,176.0,73.0,6.666666666666667,96.0,30243196,2.6247,1.2356,0.5249,0.0,0.2261,29.607,1.5183,6.7839,0.4684,0.0323,0.4119,6.5174,2.8912,1.3083,0.7188,1.0499,0.6057,0.1696,0.0,0.0081,0.0162,0.0,0.0485,0.0,0.0,1.1064,1.0418,0.0646,0.3634,0.0969,123.8222
12,A. Kramaric,4.0,29.0,177.0,73.0,6.777777777777778,30.5,351898,3.3557,1.3951,0.5279,0.0,0.176,27.3481,1.8978,8.9485,0.088,0.0377,0.2765,5.5048,1.9481,1.9103,0.9677,0.9175,0.3393,0.1005,0.0,0.0,0.0,0.0,0.1131,0.0251,0.0,1.1814,0.9677,0.2137,0.2262,0.2639,79.5667
13,A. Lacazette,4.0,29.0,175.0,73.0,5.75,48.0,3141100,2.7988,1.1863,0.5183,0.0,0.2073,20.6629,1.3476,8.6383,1.1633,0.0576,0.3686,12.946,5.3097,2.2229,1.3591,1.647,1.6931,0.1267,0.0,0.0115,0.023,0.0,0.0346,0.0,0.0,1.3015,1.0136,0.2879,0.4953,0.4262,86.8222
15,A. Martial,4.0,25.0,181.0,76.0,6.615384615384615,17.5,5748682,2.6025,1.1386,0.488,0.0,0.2002,28.1899,1.6391,11.7865,0.488,0.0125,0.1251,11.3986,4.8047,4.1791,2.3148,1.5015,0.9509,0.0626,0.0,0.0,0.025,0.0,0.0626,0.0125,0.0,1.4639,1.026,0.4379,0.5756,0.563,79.9222
17,A. Milik,4.0,26.0,186.0,80.0,5.818181818181818,28.0,1042684,3.9001,1.7924,0.6472,0.0,0.083,17.5751,1.1119,12.198,0.4481,0.083,0.1328,6.572,2.3898,0.7302,0.3485,1.1617,1.4273,0.2323,0.0,0.0,0.0,0.0,0.0332,0.0,0.0,1.4604,0.9626,0.4979,0.3983,0.7634,60.2556
18,A. Mitrovic,4.0,26.0,187.0,90.0,4.0,32.0,100461,3.7755,1.4144,0.5123,0.0,0.0557,19.4679,0.9467,4.0651,0.3898,0.1336,0.1671,12.2064,5.4907,1.3922,0.7239,1.5815,1.5815,0.2005,0.0,0.0,0.0223,0.0111,0.0334,0.0223,0.0,1.0358,1.0024,0.0334,0.078,0.0557,89.7889
19,A. Morata,4.0,28.0,190.0,84.0,6.0,20.0,11106560,3.6364,1.6268,0.4904,0.0,0.0957,15.9689,1.0287,11.1722,0.6459,0.1077,0.299,11.9498,5.012,2.0694,1.1722,2.0813,2.1172,0.323,0.0239,0.0,0.0,0.0,0.0,0.012,0.0,1.4234,1.0167,0.4067,0.5263,0.4904,83.6
48,C. Immobile,4.0,30.0,185.0,78.0,6.7,40.0,1143091,3.8055,1.7598,0.7861,0.0,0.2501,21.4035,1.5633,6.3156,0.1608,0.0089,0.0804,5.7886,2.3494,2.0457,0.9737,1.2328,0.8218,0.1608,0.0,0.0089,0.0536,0.0,0.2233,0.0357,0.0,1.1256,1.0094,0.1161,0.268,0.134,111.9444
