,player_name,position,age,height,weight,rating,value,follower,shots_total,shots_on,goals_total,goals_conceded,goals_assists,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_success,penalty_missed,penalty_saved,games_appearences,games_lineups,substitutes_in,substitutes_out,substitutes_bench,games_played
2,A. Christensen,3.0,24.0,188.0,78.0,6.0,24.0,601838,0.3802,0.0613,0.0,0.0,0.0123,58.0175,0.1717,13.4528,1.0301,0.3802,1.3367,6.4627,4.194,0.1594,0.1594,0.5641,0.5886,0.0981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.116,1.0056,0.1104,0.1839,0.7603,81.5444
8,A. Grimaldo,3.0,25.0,171.0,67.0,5.090909090909091,28.0,453600,1.007,0.3492,0.065,0.0,0.1868,41.5566,1.4862,5.2545,1.2426,0.1056,1.2913,6.4727,3.5652,2.1197,1.2994,0.8852,0.5198,0.1137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0152,1.007,0.0081,0.0893,0.0081,123.1333
9,A. Hakimi,3.0,22.0,179.0,65.0,7.111111111111111,54.0,3118407,1.0298,0.3961,0.1848,0.0,0.2376,54.9216,1.0166,9.8357,1.2806,0.0792,1.109,6.5219,3.4722,3.4986,2.086,1.4919,0.6865,0.1056,0.0,0.0,0.0132,0.0,0.0,0.0,0.0,1.109,0.9638,0.1452,0.1584,0.4225,75.7444
14,A. Laporte,3.0,26.0,191.0,86.0,5.466666666666667,60.0,841807,0.5395,0.1349,0.0623,0.0,0.0415,69.0512,0.3424,11.0814,0.7574,0.1764,1.2659,7.3046,4.5654,0.2386,0.1556,0.6329,0.7989,0.1349,0.0,0.0,0.0104,0.0104,0.0,0.0,0.0,1.048,1.0272,0.0208,0.0934,0.1349,96.3778
25,A. Robertson,3.0,26.0,178.0,64.0,5.916666666666667,24.0,2696305,0.5216,0.1625,0.0257,0.0,0.2138,52.4437,1.2741,7.1487,1.5905,0.1796,0.9321,6.0627,3.2238,1.0774,0.5986,0.2822,0.6157,0.1197,0.0,0.0,0.0,0.0086,0.0,0.0,0.0,1.0261,1.009,0.0171,0.1112,0.0941,116.9444
26,A. Romagnoli,3.0,25.0,185.0,75.0,7.0,64.0,793779,0.3598,0.1107,0.0461,0.0,0.0,51.1307,0.2122,6.6797,0.6458,0.5259,1.1625,4.3362,2.6756,0.083,0.0554,0.4152,0.9134,0.2214,0.0092,0.0092,0.0,0.0185,0.0092,0.0,0.0,1.0241,1.0056,0.0185,0.0646,0.0369,108.3889
27,A. RÃ¼diger,3.0,27.0,190.0,85.0,5.5,36.0,1242810,0.6708,0.148,0.0592,0.0,0.0099,62.1043,0.1776,9.4202,0.9371,0.3354,0.8779,7.4178,4.0048,0.2565,0.1874,0.4537,0.9568,0.1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0357,0.9963,0.0395,0.0395,0.2367,101.3778
29,A. Sandro,3.0,29.0,180.0,80.0,7.0,20.0,1971364,0.6674,0.1793,0.0498,0.0,0.1096,50.6032,1.2452,7.5905,1.0559,0.1594,1.3248,9.4234,5.3592,2.1716,1.4344,1.534,1.803,0.249,0.0,0.0,0.0,0.0398,0.0,0.0,0.0,1.0957,1.016,0.0797,0.1395,0.249,100.3889
31,A. Telles,3.0,28.0,181.0,67.0,5.3,16.0,923192,0.8394,0.3228,0.1533,0.0,0.2583,25.6578,2.3325,4.4229,0.6618,0.1372,1.6142,5.0444,2.8329,0.8797,0.565,0.6295,1.0734,0.1372,0.0,0.0081,0.0,0.0081,0.0888,0.0242,0.0,1.025,0.9927,0.0323,0.0646,0.0323,123.9
33,A. Wan-Bissaka,3.0,23.0,183.0,72.0,5.7,25.5,1629273,0.2148,0.0126,0.0,0.0,0.0758,30.8593,0.6698,7.7211,3.7658,0.4802,2.2115,9.9832,6.4701,2.4895,1.6807,0.4928,0.6066,0.139,0.0,0.0126,0.0,0.0253,0.0,0.0,0.0,1.011,0.9983,0.0126,0.0379,0.1769,79.1333
