,player_name,position,age,height,weight,rating,value,follower,shots_on,goals_total,goals_assists,passes_key,tackles_blocks,tackles_interceptions,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,games_played
0,A. Christensen,3.0,24.0,188.0,78.0,6.0,24.0,601838,0.0202903,0.0,0.0065928,0.0568327,0.0885866,0.31145110000000004,1.2707819999999999,0.0527614,0.1314353,0.1371438,0.022857300000000004,0.0,0.0,81.5444
1,A. Grimaldo,3.0,25.0,171.0,67.0,5.090909090909091,28.0,453600,0.11558520000000001,0.03484,0.1001248,0.4919322,0.0246048,0.3008729,1.0802555999999999,0.4301014000000001,0.2062516,0.12111340000000001,0.0264921,0.0,0.0,123.1333
2,A. Hakimi,3.0,22.0,179.0,65.0,7.111111111111112,54.0,3118407,0.1311091,0.0990528,0.1273536,0.3364946,0.018453600000000004,0.258397,1.0520766,0.690466,0.3476127,0.1599545,0.0246048,0.0,0.0,75.7444
3,A. Laporte,3.0,26.0,191.0,86.0,5.466666666666668,60.0,841807,0.0446519,0.0333928,0.022244000000000003,0.1133344,0.041101200000000004,0.2949547,1.3833162,0.0515036,0.1474657,0.18614370000000002,0.0314317,0.0,0.0,96.3778
4,A. Robertson,3.0,26.0,178.0,64.0,5.916666666666668,24.0,2696305,0.0537875,0.013775200000000001,0.1145968,0.4217271,0.0418468,0.21717930000000002,0.9768114,0.19813660000000002,0.06575260000000001,0.1434581,0.0278901,0.0,0.0,116.9444
5,A. Romagnoli,3.0,25.0,185.0,75.0,7.0,64.0,793779,0.036641700000000006,0.0247096,0.0,0.0702382,0.12253470000000001,0.27086250000000006,0.8107068000000001,0.0183374,0.09674160000000001,0.21282220000000002,0.051586200000000006,0.0021436000000000003,0.0021436000000000003,108.3889
6,A. RÃ¼diger,3.0,27.0,190.0,85.0,5.5,36.0,1242810,0.04898800000000001,0.0317312,0.005306400000000001,0.05878560000000001,0.0781482,0.2045507,1.2134544,0.062029400000000005,0.1057121,0.2229344,0.0459709,0.0,0.0,101.3778
7,A. Sandro,3.0,29.0,180.0,80.0,7.0,20.0,1971364,0.0593483,0.0266928,0.0587456,0.41216120000000006,0.0371402,0.3086784,1.6238376,0.4747864,0.357422,0.42009900000000006,0.058017000000000006,0.0,0.0,100.3889
8,A. Telles,3.0,28.0,181.0,67.0,5.3,16.0,923192,0.10684679999999999,0.0821688,0.13844879999999998,0.7720575000000001,0.0319676,0.3761086,0.8583687,0.187015,0.14667349999999998,0.2501022,0.0319676,0.0,0.0018873,123.9
9,A. Wan-Bissaka,3.0,23.0,183.0,72.0,5.7,25.5,1629273,0.0041706,0.0,0.04062880000000001,0.2217038,0.11188660000000002,0.5152795,1.9604403000000001,0.5563117000000001,0.1148224,0.1413378,0.032387000000000006,0.0,0.0029358,79.1333
