,player_name,position,age,height,weight,rating,value,follower,shots_on,goals_total,goals_assists,passes_key,tackles_blocks,tackles_interceptions,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,games_played
0,A. Anguissa,2.0,25.0,184.0,78.0,2.333333333333333,20.0,67879,0.037480799999999995,0.0036764999999999996,0.0,0.0787446,0.04251,0.25512,0.5169131,0.3336897,0.15849,0.22418999999999997,0.05412,0.0038699999999999997,0.0,77.6111
1,A. Di MarÃ­a,2.0,32.0,180.0,75.0,4.833333333333333,32.0,11513791,0.32411579999999995,0.13409249999999998,0.1067325,0.6482606999999999,0.0144,0.12675,0.540518,0.48899639999999994,0.19299,0.12675,0.0288,0.0,0.0,104.1444
2,A. DoucourÃ©,2.0,27.0,184.0,75.0,4.666666666666667,20.0,46206,0.1275744,0.043462499999999994,0.029868,0.3272295,0.06860999999999999,0.34023000000000003,1.5085677,0.30229079999999997,0.15438,0.36594,0.08003999999999999,0.0,0.0,104.9333
3,A. Golovin,2.0,24.0,180.0,69.0,4.666666666666667,20.0,11440,0.19540649999999998,0.0399855,0.0342855,0.4287303,0.015029999999999998,0.30668999999999996,1.1781924000000001,0.4403994,0.55323,0.46904999999999997,0.08118,0.003,0.003,99.7778
4,A. Harit,2.0,23.0,180.0,67.0,6.7142857142857135,24.0,1019540,0.1560633,0.04542899999999999,0.037192499999999996,0.49772639999999996,0.00435,0.18264,1.6138412,0.7170821999999999,1.06104,0.27831,0.03915,0.0,0.0,68.9889
5,A. Iwobi,2.0,24.0,180.0,75.0,6.384615384615384,25.5,2393,0.2758971,0.0407265,0.059223,0.6160178999999999,0.03507,0.17532,1.4297914,0.6991566,0.21429,0.19091999999999998,0.0039000000000000003,0.0,0.0,77.0
6,A. Pereira,2.0,24.0,178.0,71.0,4.428571428571429,28.0,123684,0.18891719999999998,0.0224295,0.05044499999999999,0.4751448,0.01179,0.23607,1.3276279000000002,0.3606363,0.36591,0.54885,0.09444000000000001,0.0,0.0,50.8333
7,A. Rabiot,2.0,25.0,188.0,71.0,4.9,24.0,1741682,0.0480732,0.023541,0.0313785,0.2283768,0.04130999999999999,0.33455999999999997,1.2802626,0.396633,0.30563999999999997,0.45846,0.04130999999999999,0.00414,0.0,72.6333
8,A. Ramsey,2.0,30.0,178.0,76.0,5.833333333333332,25.5,4059287,0.28896299999999997,0.094335,0.0685995,0.385284,0.02709,0.27534,1.2727053,0.3458826,0.43782,0.43328999999999995,0.01353,0.0,0.0,66.4667
9,A. Saint-Maximin,2.0,23.0,173.0,67.0,4.384615384615385,40.0,409157,0.1531242,0.047708999999999994,0.020463,0.34451489999999996,0.00717,0.05739,1.6252549,0.9604746,0.41616,0.09327,0.01434,0.0,0.0,83.6222
10,A. Witsel,2.0,31.0,186.0,73.0,6.0,32.0,1451724,0.0801996,0.037392,0.0224295,0.1489338,0.063,0.37794,0.9019933,0.2558763,0.42911999999999995,0.2874,0.023610000000000003,0.0,0.0,76.2
11,Allan_NAP,2.0,29.0,173.0,73.0,6.909090909090909,72.0,473238,0.06352529999999999,0.017783999999999998,0.023711999999999997,0.29047619999999996,0.05928,0.29322,2.0242368,0.5536857,0.54585,0.471,0.053040000000000004,0.0,0.0,96.1778
12,B. Cristante,2.0,25.0,186.0,80.0,6.3,20.0,158027,0.13644989999999999,0.05164199999999999,0.021261,0.35045129999999997,0.041550000000000004,0.29094,1.6837229,0.36284789999999995,0.16626,0.59466,0.06713999999999999,0.0,0.0032099999999999997,93.8333
13,B. Silva,2.0,26.0,173.0,64.0,6.642857142857142,80.0,2076355,0.22424459999999996,0.07843199999999999,0.083676,0.6300440999999999,0.019259999999999996,0.23117999999999997,1.3638283,0.5713203,0.26972999999999997,0.26148,0.03027,0.0,0.0,109.0
14,C. Eriksen,2.0,28.0,182.0,76.0,6.3125,68.0,2041938,0.3008649,0.0749265,0.0823935,0.7215636,0.01839,0.23394,0.8229060000000001,0.18868439999999997,0.16821,0.15507,0.02367,0.0,0.0,114.1333
