,const,position,age,height,weight,rating,follower,shots_on,goals_total,goals_assists,passes_key,tackles_blocks,tackles_interceptions,duels_won,dribbles_success,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,games_played
34,1.0,4.0,26.0,186.0,78.0,6.857142857142858,291718,0.3239082,0.056080700000000004,0.0197974,0.36567720000000004,0.008592800000000001,0.1376716,1.5399856,0.6129648,0.6583299,0.48624039999999996,0.0473538,0.0,0.0,108.5333
49,1.0,3.0,26.0,190.0,96.0,6.416666666666668,1500587,0.06053990000000001,0.0218152,0.016348,0.0538206,0.1254938,0.4333334,1.5950525999999998,0.1547425,0.13970680000000002,0.19653550000000003,0.0307793,0.0023766000000000004,0.0,98.4
2,1.0,3.0,22.0,179.0,65.0,7.111111111111112,3118407,0.1311091,0.0990528,0.1273536,0.3364946,0.018453600000000004,0.258397,1.0520766,0.690466,0.3476127,0.1599545,0.0246048,0.0,0.0,75.7444
85,1.0,4.0,23.0,190.0,80.0,5.6,1691131,0.5281794,0.0964989,0.021658999999999998,0.3243996,0.07191800000000001,0.087329,2.0427892,0.3410316,0.6474021000000001,0.4161904,0.025685000000000003,0.0,0.0,90.8889
84,1.0,3.0,29.0,187.0,81.0,6.2727272727272725,300512,0.0233686,0.0075576,0.0151152,0.037403000000000006,0.0888196,0.3618956,0.8300079,0.037403000000000006,0.0921282,0.2072768,0.0526347,0.009879200000000001,0.0,70.8222
39,1.0,3.0,22.0,178.0,70.0,4.666666666666667,1673,0.046704100000000005,0.034893600000000004,0.011631200000000001,0.07904280000000001,0.08854000000000001,0.2150124,0.9210594,0.1078067,0.0860003,0.1290121,0.027820200000000003,0.0025397,0.0,92.1111
31,1.0,2.0,29.0,176.0,74.0,6.538461538461537,42457,0.032679299999999994,0.00399,0.0080085,0.16342559999999998,0.07580999999999999,0.71187,1.2706838,0.33913139999999997,0.37068,0.38751,0.08847,0.0042,0.0,71.2222
45,1.0,4.0,23.0,187.0,83.0,3.7857142857142856,390778,0.44335620000000003,0.0850429,0.0132818,0.2805894,0.013869900000000001,0.1525222,0.9455842,0.2581362,0.6933549,0.5338744000000001,0.034651400000000006,0.0,0.0,67.3556
145,1.0,2.0,27.0,185.0,77.0,7.090909090909091,7411513,0.0801705,0.0320055,0.023256,0.24647699999999997,0.04899,0.55107,1.6091451,0.48407849999999997,0.32454,0.42555000000000004,0.0888,0.0030600000000000002,0.0,97.9889
25,1.0,2.0,24.0,191.0,80.0,6.0,65712,0.08965709999999999,0.030381,0.010117499999999998,0.16895459999999998,0.08532,0.4692,1.0170010999999999,0.3999504,0.2346,0.45852,0.10308,0.0,0.0,84.4
