aq,cr,cv,dt,hv,lv,ncv,ov,rf,name
6873613,0.59,300,20191210,51600.0,50700.0,51500,51000.0,2,삼성전자
8470627,1.5873015,800,20191209,51400.0,50700.0,51200,50900.0,2,삼성전자
11414563,1.8181818,900,20191206,50900.0,49950.0,50400,50100.0,2,삼성전자
10449715,0.1011122,50,20191205,50400.0,49500.0,49500,50200.0,2,삼성전자
13246549,-0.9018036,-450,20191204,49850.0,49000.0,49450,49600.0,5,삼성전자
12059812,-0.9920634,-500,20191203,50300.0,49500.0,49900,49800.0,5,삼성전자
18877252,0.1988071,100,20191202,51300.0,50400.0,50400,50900.0,2,삼성전자
11179334,-1.9493177,-1000,20191129,51400.0,50200.0,50300,51200.0,5,삼성전자
6833885,-1.7241379,-900,20191128,52100.0,51300.0,51300,51900.0,5,삼성전자
7546261,0.7722007,400,20191127,52300.0,51600.0,52200,51800.0,2,삼성전자
27372226,0.0,0,20191126,52900.0,51800.0,51800,51900.0,3,삼성전자
9050625,0.3875968,200,20191125,52600.0,51700.0,51800,52200.0,2,삼성전자
8478310,1.1764705,600,20191122,51600.0,50900.0,51600,51000.0,2,삼성전자
14298646,-1.9230769,-1000,20191121,52100.0,50600.0,51000,51600.0,5,삼성전자
12560070,-2.8037383,-1500,20191120,53400.0,52000.0,52000,53400.0,5,삼성전자
8907177,0.0,0,20191119,53500.0,52700.0,53500,53200.0,3,삼성전자
7746554,-0.3724394,-200,20191118,53800.0,53200.0,53500,53600.0,5,삼성전자
9703360,1.7045454,900,20191115,53700.0,52600.0,53700,52900.0,2,삼성전자
12010018,0.5714285,300,20191114,52800.0,51900.0,52800,51900.0,2,삼성전자
6225196,-0.190114,-100,20191113,52500.0,52000.0,52500,52500.0,5,삼성전자
6576148,1.9379844,1000,20191112,52600.0,51600.0,52600,51800.0,2,삼성전자
8185952,-0.9596928,-500,20191111,52200.0,51400.0,51600,52200.0,5,삼성전자
11603290,-1.5122873,-800,20191108,53300.0,52000.0,52100,53200.0,5,삼성전자
9257116,-0.750469,-400,20191107,53400.0,52400.0,52900,53400.0,5,삼성전자
14361133,1.1385199,600,20191106,53500.0,52700.0,53300,52900.0,2,삼성전자
10581034,0.7648183,400,20191105,52700.0,52100.0,52700,52400.0,2,삼성전자
13012411,2.1484375,1100,20191104,52300.0,51400.0,52300,51700.0,2,삼성전자
8467846,1.5873015,800,20191101,51200.0,50400.0,51200,50600.0,2,삼성전자
10304777,0.0,0,20191031,51400.0,50300.0,50400,51000.0,3,삼성전자
8959435,-1.369863,-700,20191030,50800.0,50200.0,50400,50700.0,5,삼성전자
7581629,-0.3898635,-200,20191029,51700.0,50800.0,51100,51400.0,5,삼성전자
6431522,0.7858546,400,20191028,51500.0,50700.0,51300,50700.0,2,삼성전자
7879897,0.3944773,200,20191025,51200.0,50500.0,50900,50800.0,2,삼성전자
21185785,-0.9765625,-500,20191024,52500.0,50500.0,50700,52500.0,5,삼성전자
8663880,0.0,0,20191023,51500.0,50800.0,51200,51300.0,3,삼성전자
10898729,1.7892644,900,20191022,51500.0,50700.0,51200,50800.0,2,삼성전자
4406531,0.8016032,400,20191021,50400.0,49800.0,50300,49900.0,2,삼성전자
8483106,-1.1881188,-600,20191018,50900.0,49650.0,49900,50300.0,5,삼성전자
6701380,-0.3944773,-200,20191017,50600.0,50100.0,50500,50500.0,5,삼성전자
9136282,1.1976047,600,20191016,50900.0,50400.0,50700,50700.0,2,삼성전자
6058105,0.2,100,20191015,50200.0,49900.0,50100,49900.0,2,삼성전자
11130635,1.7293997,850,20191014,50300.0,49850.0,50000,50000.0,2,삼성전자
7783275,1.2358393,600,20191011,49450.0,48800.0,49150,49000.0,2,삼성전자
18639855,-0.7157464,-350,20191010,49200.0,48000.0,48550,48200.0,5,삼성전자
14239367,2.4083769,1150,20191008,49000.0,47600.0,48900,47900.0,2,삼성전자
7047273,-0.5208333,-250,20191007,48700.0,47650.0,47750,48350.0,5,삼성전자
9331695,0.8403361,400,20191004,48650.0,47350.0,48000,47400.0,2,삼성전자
8382463,-2.5588536,-1250,20191002,48400.0,47600.0,47600,48350.0,5,삼성전자
6206035,-0.4077471,-200,20191001,49100.0,48650.0,48850,48900.0,5,삼성전자
9497119,1.3429752,650,20190930,49250.0,47900.0,49050,48050.0,2,삼성전자
8048041,-1.6260162,-800,20190927,48700.0,48000.0,48400,48000.0,5,삼성전자
8494756,0.6134969,300,20190926,49250.0,48900.0,49200,49000.0,2,삼성전자
9187141,-1.2121212,-600,20190925,49350.0,48800.0,48900,49200.0,5,삼성전자
7871955,0.4056795,200,20190924,49650.0,48850.0,49500,49050.0,2,삼성전자
7568553,0.203252,100,20190923,49300.0,49000.0,49300,49250.0,2,삼성전자
15460210,0.1017293,50,20190920,49600.0,49100.0,49200,49400.0,2,삼성전자
16461413,3.0398322,1450,20190919,49200.0,47850.0,49150,48050.0,2,삼성전자
10413027,1.7057569,800,20190918,47700.0,46800.0,47700,46900.0,2,삼성전자
7006280,-0.4246284,-200,20190917,47100.0,46800.0,46900,47000.0,5,삼성전자
15550926,-0.1060445,-50,20190916,47100.0,46400.0,47100,47000.0,5,삼성전자
16141619,0.3191489,150,20190911,47400.0,46800.0,47150,47300.0,2,삼성전자
9231792,0.2132196,100,20190910,47200.0,46550.0,47000,47100.0,2,삼성전자
9434157,1.2958963,600,20190909,47000.0,46300.0,46900,46450.0,2,삼성전자
9896562,1.3129102,600,20190906,46500.0,45850.0,46300,46500.0,2,삼성전자
18297430,3.6281179,1600,20190905,46100.0,44450.0,45700,44800.0,2,삼성전자
12441837,1.9653179,850,20190904,44100.0,43150.0,44100,43250.0,2,삼성전자
9774941,-1.2557077,-550,20190903,43650.0,43100.0,43250,43550.0,5,삼성전자
7185537,-0.4545454,-200,20190902,44850.0,43650.0,43800,44850.0,5,삼성전자
9899073,1.3824884,600,20190830,44300.0,43750.0,44000,43750.0,2,삼성전자
10768862,-1.6987542,-750,20190829,44200.0,43050.0,43400,44200.0,5,삼성전자
5758333,0.2270147,100,20190828,44400.0,43750.0,44150,44100.0,2,삼성전자
16883932,1.03211,450,20190827,44200.0,43600.0,44050,43650.0,2,삼성전자
7954949,-0.7963594,-350,20190826,43800.0,42950.0,43600,43050.0,5,삼성전자
5017381,-0.2270147,-100,20190823,44200.0,43650.0,43950,43800.0,5,삼성전자
8061177,-1.0112359,-450,20190822,44700.0,43850.0,44050,44500.0,5,삼성전자
6571717,0.1124859,50,20190821,44800.0,44150.0,44500,44350.0,2,삼성전자
8434205,1.9495412,850,20190820,44600.0,43550.0,44450,43950.0,2,삼성전자
6014218,-0.6833712,-300,20190819,44350.0,43500.0,43600,44350.0,5,삼성전자
9528115,0.4576659,200,20190816,43900.0,43300.0,43900,43800.0,2,삼성전자
8750135,1.6279069,700,20190814,44250.0,43500.0,43700,43900.0,2,삼성전자
7276979,-1.6018306,-700,20190813,43500.0,42950.0,43000,43500.0,5,삼성전자
8466169,1.2746234,550,20190812,44000.0,43550.0,43700,44000.0,2,삼성전자
9685147,1.1723329,500,20190809,43350.0,43050.0,43150,43250.0,2,삼성전자
16926881,-1.2731481,-550,20190808,43500.0,42650.0,42650,43250.0,5,삼성전자
10002533,-0.6896551,-300,20190807,43900.0,43100.0,43200,43600.0,5,삼성전자
15083824,-1.0238907,-450,20190806,43800.0,42500.0,43500,42500.0,5,삼성전자
14214086,-2.2246941,-1000,20190805,44600.0,43600.0,43950,44350.0,5,삼성전자
12151374,-0.5530973,-250,20190802,45500.0,44300.0,44950,44550.0,5,삼성전자
7811181,-0.3307607,-150,20190801,45500.0,44850.0,45200,44900.0,5,삼성전자
12872916,-2.5778732,-1200,20190731,46600.0,45000.0,45350,46200.0,5,삼성전자
5551014,0.9761388,450,20190730,46850.0,46300.0,46550,46300.0,2,삼성전자
6856846,-2.2269353,-1050,20190729,47050.0,46000.0,46100,46800.0,5,삼성전자
7873886,-0.1059322,-50,20190726,47150.0,46550.0,47150,46650.0,5,삼성전자
8408838,1.7241379,800,20190725,47200.0,46600.0,47200,47150.0,2,삼성전자
8756522,-1.9027484,-900,20190724,47150.0,46250.0,46400,47100.0,5,삼성전자
9061381,0.2118644,100,20190723,47550.0,47050.0,47300,47350.0,2,삼성전자
9009109,0.8547008,400,20190722,47300.0,46600.0,47200,46800.0,2,삼성전자
